holiday,ds,lower_window,upper_window
holiday_christmas_and_nyear,12/25/2009,-1,8
holiday_christmas_and_nyear,12/25/2010,-1,8
holiday_christmas_and_nyear,12/25/2011,-1,8
holiday_christmas_and_nyear,12/25/2012,-1,8
holiday_christmas_and_nyear,12/25/2013,-1,8
holiday_christmas_and_nyear,12/25/2014,-1,8
holiday_christmas_and_nyear,12/25/2015,-1,8
holiday_christmas_and_nyear,12/25/2016,-1,8
holiday_christmas_and_nyear,12/25/2017,-1,8
holiday_christmas_and_nyear,12/25/2018,-1,8
holiday_christmas_and_nyear,12/25/2019,-1,8
holiday_christmas_and_nyear,12/25/2020,-1,8
holiday_canada_day,7/1/2009,-1,1
holiday_canada_day,7/1/2010,-1,1
holiday_canada_day,7/1/2011,-1,1
holiday_canada_day,7/1/2012,-1,1
holiday_canada_day,7/1/2013,-1,1
holiday_canada_day,7/1/2014,-1,1
holiday_canada_day,7/1/2015,-1,1
holiday_canada_day,7/1/2016,-1,1
holiday_canada_day,7/1/2017,-1,1
holiday_canada_day,7/1/2018,-1,1
holiday_canada_day,7/1/2019,-1,1
holiday_canada_day,7/1/2020,-1,1
holiday_victoria_day,5/18/2009,-1,1
holiday_victoria_day,5/24/2010,-1,1
holiday_victoria_day,5/23/2011,-1,1
holiday_victoria_day,5/21/2012,-1,1
holiday_victoria_day,5/20/2013,-1,1
holiday_victoria_day,5/19/2014,-1,1
holiday_victoria_day,5/18/2015,-1,1
holiday_victoria_day,5/23/2016,-1,1
holiday_victoria_day,5/22/2017,-1,1
holiday_victoria_day,5/21/2018,-1,1
holiday_victoria_day,5/20/2019,-1,1
holiday_victoria_day,5/28/2020,-1,1
holiday_bc_day,8/3/2009,-1,1
holiday_bc_day,8/2/2010,-1,1
holiday_bc_day,8/1/2011,-1,1
holiday_bc_day,8/6/2012,-1,1
holiday_bc_day,8/5/2013,-1,1
holiday_bc_day,8/4/2014,-1,1
holiday_bc_day,8/3/2015,-1,1
holiday_bc_day,8/1/2016,-1,1
holiday_bc_day,8/7/2017,-1,1
holiday_bc_day,8/6/2018,-1,1
holiday_bc_day,8/5/2019,-1,1
holiday_bc_day,8/3/2020,-1,1
holiday_family_day,2/16/2009,-1,1
holiday_family_day,2/15/2010,-1,1
holiday_family_day,2/21/2011,-1,1
holiday_family_day,2/20/2012,-1,1
holiday_family_day,2/11/2013,-1,1
holiday_family_day,2/10/2014,-1,1
holiday_family_day,2/9/2015,-1,1
holiday_family_day,2/8/2016,-1,1
holiday_family_day,2/13/2017,-1,1
holiday_family_day,2/12/2018,-1,1
holiday_family_day,2/18/2019,-1,1
holiday_family_day,2/17/2020,-1,1
holiday_labour_day,9/7/2009,-1,1
holiday_labour_day,9/6/2010,-1,1
holiday_labour_day,9/5/2011,-1,1
holiday_labour_day,9/3/2012,-1,1
holiday_labour_day,9/2/2013,-1,1
holiday_labour_day,9/1/2014,-1,1
holiday_labour_day,9/7/2015,-1,1
holiday_labour_day,9/5/2016,-1,1
holiday_labour_day,9/4/2017,-1,1
holiday_labour_day,9/3/2018,-1,1
holiday_labour_day,9/2/2019,-1,1
holiday_labour_day,9/7/2020,-1,1
holiday_thanksgiving,10/12/2009,-1,1
holiday_thanksgiving,10/11/2010,-1,1
holiday_thanksgiving,10/10/2011,-1,1
holiday_thanksgiving,10/8/2012,-1,1
holiday_thanksgiving,10/14/2013,-1,1
holiday_thanksgiving,10/13/2014,-1,1
holiday_thanksgiving,10/12/2015,-1,1
holiday_thanksgiving,10/10/2016,-1,1
holiday_thanksgiving,10/9/2017,-1,1
holiday_thanksgiving,10/8/2018,-1,1
holiday_thanksgiving,10/14/2019,-1,1
holiday_thanksgiving,10/12/2020,-1,1
holiday_remembrance_day,11/11/2009,-1,1
holiday_remembrance_day,11/11/2010,-1,1
holiday_remembrance_day,11/11/2011,-1,1
holiday_remembrance_day,11/12/2012,-1,1
holiday_remembrance_day,11/11/2013,-1,1
holiday_remembrance_day,11/11/2014,-1,1
holiday_remembrance_day,11/11/2015,-1,1
holiday_remembrance_day,11/11/2016,-1,1
holiday_remembrance_day,11/10/2017,-1,1
holiday_remembrance_day,11/12/2018,-1,1
holiday_remembrance_day,11/11/2019,-1,1
holiday_remembrance_day,11/11/2020,-1,1
holiday_good_friday_and_easter_Monday,2009-04-10,-1,4
holiday_good_friday_and_easter_Monday,2010-04-02,-1,4
holiday_good_friday_and_easter_Monday,2011-04-22,-1,4
holiday_good_friday_and_easter_Monday,2012-04-06,-1,4
holiday_good_friday_and_easter_Monday,2013-03-29,-1,4
holiday_good_friday_and_easter_Monday,2014-04-18,-1,4
holiday_good_friday_and_easter_Monday,2015-04-03,-1,4
holiday_good_friday_and_easter_Monday,2016-04-25,-1,4
holiday_good_friday_and_easter_Monday,2017-04-14,-1,4
holiday_good_friday_and_easter_Monday,2018-03-30,-1,4
holiday_good_friday_and_easter_Monday,2019-04-19,-1,4
holiday_good_friday_and_easter_Monday,2020-04-10,-1,4
